group_code,food_group,cod_item,food_description
04,Legumes,8579137,JARDINEIRA DE LEGUMES
04,Legumes,7010301,TOMATE SECO
04,Legumes,8579282,TEMPURA LEGUMES
04,Legumes,6705601,CABACA
04,Legumes,6706101,JARDINEIRA (SELETA)
05,Raízes e tubérculos,6400802,BATATA (NAO ESPECIFICADA)
05,Raízes e tubérculos,6400401,BATATA DOCE
05,Raízes e tubérculos,6400609,AIPIM
05,Raízes e tubérculos,6400101,BATATA INGLESA
05,Raízes e tubérculos,6400701,CARA
05,Raízes e tubérculos,6400610,MACAXEIRA
05,Raízes e tubérculos,6400601,MANDIOCA
05,Raízes e tubérculos,8501503,BATATA PALHA
05,Raízes e tubérculos,6400501,INHAME
05,Raízes e tubérculos,6503501,PURE DE BATATA
05,Raízes e tubérculos,6401301,NABO
05,Raízes e tubérculos,8506605,PIRAO DE LEITE
05,Raízes e tubérculos,6401101,BETERRABA
05,Raízes e tubérculos,6480001,GENGIBRE
05,Raízes e tubérculos,8506601,PIRAO
05,Raízes e tubérculos,8501502,BATATA PALITO
05,Raízes e tubérculos,6400304,CENOURA AMARELA (BATATA BAROA)
05,Raízes e tubérculos,8579045,BATATA SUICA / BATATA ROSTIE / ROSTI
05,Raízes e tubérculos,6400713,INHAME CARAQUENTO (CARA)
05,Raízes e tubérculos,6401001,RABANETE
05,Raízes e tubérculos,6400303,MANDIOQUINHA SALSA (BATATA BAROA)
05,Raízes e tubérculos,6400908,MANDIOQUINHA
05,Raízes e tubérculos,6503503,PURE DE INHAME
05,Raízes e tubérculos,6503504,PURE DE MANDIOCA
06,Frutas,6801801,"LARANJA (PERA, SELETA, LIMA, DA TERRA, ETC)"
06,Frutas,6801001,BANANA DA TERRA
06,Frutas,6801101,"BANANA (OURO, PRATA, DAGUA, ETC)"
06,Frutas,6802601,ABACAXI
06,Frutas,6802701,ABACATE
06,Frutas,8507801,ACAI
06,Frutas,8507802,ACAI COM GUARANA E GRANOLA
06,Frutas,6804301,AMEIXA
06,Frutas,6802801,CAQUI
06,Frutas,6804201,GOIABA
06,Frutas,6803101,MAMAO
06,Frutas,6803201,MANGA
06,Frutas,6803401,MELANCIA
06,Frutas,6803501,MELAO
06,Frutas,6802202,MEXERICA
06,Frutas,6803701,PESSEGO
06,Frutas,8504401,SALADA DE FRUTAS
06,Frutas,6803901,UVA
06,Frutas,6803912,UVA PASSA
06,Frutas,6803001,MACA
06,Frutas,6803601,PERA
06,Frutas,6805401,ATEMOIA
06,Frutas,6802217,BERGAMOTA
06,Frutas,6806902,CERIGUELA / SERIGUELA / SIRIGUELA
06,Frutas,6806901,CIRIGUELA
06,Frutas,6810501,CRANBERRY
06,Frutas,6802901,FIGO
06,Frutas,6804101,JACA
06,Frutas,6807801,KIWI
06,Frutas,6810001,LICHIA
06,Frutas,6805201,MORANGO
06,Frutas,6810901,TAMARA
06,Frutas,6802201,TANGERINA
06,Frutas,6807101,UMBU
06,Frutas,6801002,BANANA-PACOVA
06,Frutas,6804401,CAJU
06,Frutas,6803802,PINHA (FRUTA DE CONDE)
06,Frutas,6802501,CANA DE ACUCAR
06,Frutas,6800701,BANANA-ROXA
06,Frutas,6805901,FRUTA PAO
06,Frutas,6807202,BIRIBA / BERIBA
06,Frutas,6902401,FRUTA SECA OU DESIDRATADA
06,Frutas,6805001,GRAVIOLA / JACA-DE-POBRE
06,Frutas,6804908,JABUTICABA / JABOTICABA
06,Frutas,6802001,"LIMAO (COMUM, GALEGO, ETC)"
06,Frutas,6803301,MARACUJA
06,Frutas,6803108,PAPAIA
