ingr_descr_eng,foodex2_ingr_code,ingr_code
"*BANANA,RIPE (SMALL)",A01LC#F10.A07XL$F10.A16YC,30217
"*GOAT MEAT, MEDIUM FAT, W BONE,FRESH, RAW",A01RL#F10.A077B$F20.A07QL,11074
"*SALT,SODA ASH,(LTBS)",A048T,30147
"*PUMPKIN, FRESH, VOL,RAW",A00KH#F10.A166Y,29031
"*AVOCADO,FRESH,(MEDIUM),RAW",A01LB#F10.A166Y,29023
"*SWEETPOTATO,WHITE,W/SKIN,FRESH,WHOLE, A(LARGE),RAW,*BOILED*",A010C#F28.A07GL$F10.A0F2R$F10.A166Y$F03.A06HY$F20.A07QQ,3002
"*TEA LEAVES,(HTSP)",A04KK,27037
"*IRISH POTATO,FRESH, W/SKIN,WHOLE , VOL, RAW",A00ZT#F10.A166Y$F03.A06HY$F20.A07QQ,2041
"*OTHER GREEN LEAVES,FRESH, RAW",A00KR#F10.A166Y,18350
"*IRISH POTATO,FRESH, WHOLE,(LARGE), RAW,*STIR FRIED*",A00ZT#F28.A07GT$F10.A166Y$F03.A06HY,5066
"*SALT,NOT IODIZED,(LTSP)",A042P#F10.A0F6D,30140
"*GROUNDNUT FLOUR,ROASTED,W/O SKIN,RAW",A0F0N#F27.A015H$F28.A07GY$F03.A06JD$F20.A07QR,8952
"*SALT, IODIZED,(HTSP)",A042R,30136
"*PUMPKIN LEAVES,FRESH,W/O STALKS,RAW",A16QL#F10.A166Y$F20.A07QH,18051
"*SUGAR,GRANULATED,ALL GRADES,RAW,(LTSP)",A032H,26011
"*MANGO,SEMI RIPE,W/O SKIN,FRESH,(MEDIUM),RAW",A01LF#F10.A166Y$F10.A0F5G$F20.A07QR,30031
"*TOMATO, SEMI RIPE,FRESH,W SKIN,(MEDIUM),RAW",A0DMX#F10.A0F5G$F10.A166Y$F20.A07QQ,29016
"*BANANA , GREEN BANANA, FRESH, VOL,RAW",A01LE#F10.A0F2Q$F10.A166Y,5001
"*Beans,kidney beans,dried,raw*boiled*",A012V#F28.A07GL,6122
"*SUGAR,GRANULATED,ALL GRADES,RAW,(HTBS)",A032H,26014
"*SUGAR,GRANULATED,ALL GRADES,RAW,(LTSP)",A032H,26014
"*CABBAGE,  GREEN,FRESH,(LARGE) RAW",A00GB#F10.A0F2Q$F10.A166Y,29164
"*IRISH POTATOES, FRESH, CUBES,  VOL,RAW,*BOILED*",A00ZT#F28.A07GL$F10.A166Y$F03.A06JB$F20.A07QR,2063
"*BANANA,GREEN BANANA, FRESH, VOL,RAW,*BOILED*",A01LE#F28.A07GL$F10.A0F2Q$F10.A166Y,5005
"*DOUGHNUT,BASIC RECIPE, M",A00BR,1042
"*IRISH POTATO,FRESH, WO/SKIN,WHOLE ,(LARGE),RAW",A00ZT#F10.A166Y$F03.A06HY$F20.A07QR,2052
"*PUMPKIN, PUMPKIN SLICES, W/O SKIN, C,(SMALL),RAW",A00KH#F10.A166Y$F03.A06JA$F20.A07QR,29034
"*VEGETABLE OIL,UNSPECIFIED BRAND,RAW,(LTSP)",A036N#F26.A07XD$F22.A07SH,25002
"*BANANA,RIPE (LARGE)",A01LC#F10.A07XL,30215
"*VEGETABLE FAT,RAW,(LTBS)",A036N,25042
"*BANANA , GREEN BANANA, FRESH,(MEDIUM),RAW",A01LE#F10.A0F2Q$F10.A166Y,5003
"*EGG, CHICKEN,WHOLE, RAW (STANDARD)",A031G,17001
"*VEGETABLE FAT,RAW,(LTSP)",A036N,25040
"*BANANA,RIPE(MEDIUM)",A01LC#F10.A07XL,30216
"*CABBAGE,  GREEN,FRESH, VOL,RAW *BOILED*",A00GB#F28.A07GL$F10.A0F2Q$F10.A166Y,29002
"*CARROTS, FRESH, (SMALL),RAW",A00QH#F10.A166Y,29007
"*COCOA,POWDER,(LTBS)",A03HG,27051
"*SUGARCANE, RAW(L)",A010V,26001
"*PEAS,/DAL,YELLOW,DRIED,RAW*BOILED*",A013J#F28.A07GL$F10.A0F5H,8930
"*ARROW ROOT CHOPS, W/ SKIN B (MEDIUM),RAW",A010G#F28.A07HS$F03.A06JB$F20.A07QQ,5015
"*EGG, CHICKEN,WHOLE, RAW*BOILED*(STANDARD)",A032B#F27.A031G,17002
"*PAPAYA,SLICES, D, FRESH, RAW(LARGE),",A01LG#F10.A166Y$F03.A06JA,30042
"*BLACKNIGHTSHADE LEAVES,FRESH,W/O STALKS,RAW",A00NL#F10.A166Y$F20.A07QH,18921
"*FISH,TILAPIA, FRESH, CHOPPED,FISH HEAD, (SMALL),DEEP FRIED,",A0F8L#F28.A07GV$F10.A166Y$F03.A06HZ,14086
"*MILK,COCONUT MILK,FRESH",A01BK#F10.A166Y,30149
"*MAIZE FLOUR,WHITE,REFINED,RAW",A002Q#F10.A07XK,1022
"*VEGETABLE OIL,UNSPECIFIED BRAND,RAW,(VOL)",A036N#F26.A07XD$F22.A07SH,25001
"*EGG PLANT, PURPLE,ROUND, FRESH (LARGE),RAW",A00JD#F10.A16ZX$F10.A166Y,29009
"*EGG PLANT, PURPLE,ROUND, FRESH,(MEDIUM),RAW",A00JD#F10.A16ZX$F10.A166Y,29010
"*VEGETABLE FAT,(LTBS)",A036N,25029
"*SILVER CYPRINID, SMALLFISH, VOL,RAW",A0F1C#F01.A0K2S,14013
"*MAIZE FLOUR,YELLOW,UNREFINED,RAW",A002Q#F10.A0F5H$F10.A06HR,1024
"*SALT, IODIZED,(VOL)",A042R,30134
"*FISH, FISH FILLET PIECES,  (SMALL),RAW, FRIED",A026V#F28.A07GR$F03.A06HZ,14161
"*BISCUIT,BASIC RECIPE, BAKED (STANDARD)",A009X,1044
"*FISH, TILAPIA, FRESH, WHOLE FISH, (LARGE),RAW,*DEEP FRIED*",A0F8L#F28.A07GV$F10.A166Y$F03.A06HY,14027
"*IRISH POTATOES, FRESH, CUBES, VOL, RAW,*DEEP FRIED*",A00ZT#F28.A07GV$F10.A166Y$F03.A06JB,2074
*Tea leaves,A04KK,27035
"*SWEETS,CANDY, HARD TYPE(STANDARD)",A034X,26007
"*BREAD,  WHEAT,REFINED FLOUR,(WHITE)SLICES,L",A004Y#F03.A06JA,1035
"*FISH,TILAPIA, FRESH, CHOPPED,FISH TAIL, (SMALL),RAW,*STIR FRIED",A0F8L#F28.A07GT$F10.A166Y$F03.A06HZ,14122
"*VEGETABLE FAT,RAW,(VOL)",A036N,25016
"*TOMATO, SEMI RIPE,FRESH,W SKIN,(SMALL),RAW",A0DMX#F10.A0F5G$F10.A166Y$F20.A07QQ,29017
"*OKRA, FRESH, RAW",A00JF#F10.A166Y,29110
"*COWPEA LEAVES,FRESH,W/O STALKS,RAW",A0DKA#F10.A166Y$F20.A07QH,18071
"*BEANS,KIDNEY BEANS,DRIED,RAW",A012V#F28.A07HS,6121
"*OTHER GREEN LEAVES,FRESH, RAW*BOILED*",A00KR#F28.A07GL$F10.A166Y,18351
*ROYCO CUBE (STANDARD),A042Z#F04.A042P$F04.A002R$F04.A048A,30214
"*ORANGES, GREEN TYPE,D,(LARGE), FRESH, RAW",A0DZB#F10.A0F2Q$F10.A166Y,30062
*HARD MANDAZI(STANDARD),A16FY#F10.A0CJP,1082
"*ORANGES, GREEN TYPE, E,(MEDIUM),FRESH, RAW",A0DZB#F10.A0F2Q$F10.A166Y,30063
"*Vegetable oil,unspecified brand,raw,(vol)",A036N#F26.A07XD$F22.A07SH,25001
"*Tomato,ripe,fresh,W skin, vol,raw *stir fried*",A0DMX#F28.A07GT$F10.A166Y$F10.A07XL$F20.A07QQ,29116
"*Onion,red bulb,fresh,vol,raw *stir fried*",A0DND#F28.A07GT$F10.A166Y$F10.A0F2S,29140
"*MILK,GOAT MILK,WHOLE,FRESH,RAW",A02MB#F10.A077A$F10.A166Y,9008
"*ROYCO,POWDER,(HTBS)",A042Z#F04.A042P$F04.A002R$F04.A048A$F03.A06JD,30100
"*FISH, NILE PERCH,FRESH, WHOLE FISH,(LARGE), DEEP FRIED",A028N#F28.A07GV$F03.A06HY,14051
"*PEAS,GREEN,FRESH,RAW*BOILED*",A012J#F28.A07GL$F10.A0F2Q$F10.A166Y,8921
"*Egg,chicken,whole,raw* stir fried*",A032C#F27.A031G$F28.A07GT,17009
"*BEEF, MEDIUM FAT, W BONE,FRESH, VOL,RAW",A01QX#F10.A166Y$F10.A077B$F20.A07QL,11025
"*TOMATO, SEMI RIPE,FRESH,W SKIN,(LARGE),RAW",A0DMX#F10.A0F5G$F10.A166Y$F20.A07QQ,29015
"*Rice,white,polished,raw*boiled*",A003D#F28.A07GL$F10.A07XK,1202
"*SILVER CYPRINID, SMALLFISH, SUN DRIED, (SMALL),RAW, *STIR FR",A02JP#F01.A0K2S$F27.A0F1C$F28.A07KK$F28.A07GT,14022
"*Cabbage,  green,fresh, vol,raw *stir fried*",A00GB#F28.A07GT$F10.A0F2Q$F10.A166Y,29003
"*CASSAVA FLOUR,RAW",A16RD#F27.A00ZZ$F03.A06JD,2040
"*SWEET POTATO, WHITE,  WO/SKIN,FRESH, WHOLE, A (LARGE),RAW,",A010C#F10.A0F2R$F10.A166Y$F03.A06HY$F20.A07QR,3029
"*PEAS,PIGEON PEAS,FRESH,RAW*BOILED*",A012K#F28.A07GL$F10.A166Y,8933
"*SUGARCANE, RAW(M)",A010V,26002
"*VEGETABLE FAT,UNSPECIFIED BRAND,RAW,(LTSP)",A036N#F26.A07XD$F22.A07SH,25055
"*SWEET POTATO,WHITE, WO/SKIN,FRESH,RA VOL,W, *BOILED*",A010C#F28.A07GL$F10.A0F2R$F10.A166Y$F03.A06HY$F20.A07QR,3028
"*PEAS,PIGEON PEAS,DRIED,RAW",A013P,8935
"*ROYCO,POWDER,(VOL)",A042Z#F04.A042P$F04.A002R$F04.A048A$F03.A06JD,30096
"*MAIZE GRAIN,WHITE, DRIED,DEHULLED,RAW",A000T#F28.A07KG$F10.A0F2R$F20.A07QR,1092
"MAIZE FLOUR, WHITE, REFINED *BOILED*",A002Q#F28.A07GL$F10.A07XK,1098
"*COFFEE,BEVERAGE,(HTSP)",A03KA,27045
"MAIZE FLOUR, WHITE, UNREFINED *BOILED*",A002Q#F28.A07GL$F10.A0F2R$F10.A06HR,1096
"*COWPEA LEAVES,FRESH,W/O STALKS,RAW*BOILED*",A0DKA#F28.A07GL$F10.A166Y$F20.A07QH,18072
"*MAIZE FLOUR,WHITE,UNREFINED,RAW *BOILED*",A002Q#F28.A07GL$F10.A06HR$F10.A0F2R,1023
"*FISH, TILAPIA, FRESH, WHOLE FISH,  (SMALL),RAW, DEEP FRIED",A0F8L#F28.A07GV$F10.A166Y$F03.A06HY,14003
"*PRAWNS,FRESH,RAW*BOILED*(STANDARD)",A02FX#F28.A07GL$F10.A166Y,14172
"*SALT,NOT IODIZED,(HTBS)",A042P#F10.A0F6D,30143
"*FISH,NILE PERCH, FRESH, CHOPPED,FISH TAIL, (SMALL),RAW,*DEEP FRIED",A028N#F28.A07GV$F10.A166Y$F03.A06HZ,14143
"*EGG PLANT, PURPLE,ROUND, FRESH,(SMALL),RAW",A00JD#F10.A16ZX$F10.A166Y,29011
"*TOMATO, SEMI RIPE,FRESH,W SKIN, VOL,RAW",A0DMX#F10.A0F5G$F10.A166Y$F20.A07QQ,29014
"*VEGETABLE FAT,RAW,(HTBS)",A036N,25020
CANNED TOMATOES,A00ZC#F28.A0BYP,29114
"*ONION,SPRING ONION,LEAVES ONLY,RAW",A00HH#F20.A07QH,18101
"*GOAT MEAT, LOW FAT, W BONE,FRESH, RAW",A01RL#F10.A077C$F20.A07QL,11077
"*MAIZE ON COB, WHITE, FRESH,(LARGE),RAW,*BOILED*",A000T#F28.A07GL$F10.A0F2R$F10.A166Y$F03.A06HY,30183
"*IRISH POTATOES, FRESH, CUBES,VOL,  RAW",A00ZT#F10.A166Y$F03.A06JB,2051
"*GROUNDNUTS,DRIED,W SKIN,DRIED,RAW,BOILED*",A015H#F28.A07GL$F20.A07QQ,8946
"*MILK,CAMEL MILK,WHOLE,FRESH,RAW*BOILED*",A0CVT#F28.A07GL$F10.A077A$F10.A166Y,9019
"*VEGETABLE FAT,RAW,(LTSP)",A036N,25017
"*CAMEL MEAT, LOW FAT,W BONE, FRESH, RAW *STIR FRIED*",A01RX#F28.A07GT$F10.A077C$F10.A166Y$F20.A07QL,16149
"*VEGETABLE FAT,RAW,(LTBS)",A036N,25019
"*MILLET FLOUR, REFINED,FERMENTED,RAW*BOILED*",A002T#F28.A07GL$F28.A0CQZ$F10.A07XK,1106
"*MILK,GOAT MILK,WHOLE,FRESH,RAW*BOILED*",A02MB#F28.A07GL$F10.A077A$F10.A166Y,9016
"*TOMATO,RIPE,FRESH,W/O SKIN,(LARGE),RAW",A0DMX#F10.A166Y$F10.A16YB$F10.A07XL$F20.A07QR,29118
"CORN SOY BLEND (UNIMIX),RAW",A002Q#F04.A185Q$F04.A0DCH,1114
"*WHEAT FLOUR,REFINED,RAW",A003Y,1034
"*BEANS, BORLOTI,DRIED,RAW*BOILED*",A012T#F28.A07GL,8902
"*PEAS,PIGEON PEAS,DRIED,RAW*BOILED*",A013P#F28.A07GL,8936
"*ORANGES, YELLOW TYPE, A,(LARGE), FRESH, RAW",A0DZB#F10.A166Y$F10.A0F5H,30059
"*VEGETABLE OIL,SUNFLOWER OIL,RAW,(VOL)",A037D,25010
"*LUQUATS,FRESH, RIPE (STANDARD)",A01DL#F10.A07XL$F10.A166Y,30079
"*BEANS, BORLOTI,DRIED,RAW",A012T#F28.A07HS,8901
"*CORRIANDER LEAVES,FRESH W/O STALKS,RAW",A00XF#F10.A166Y$F20.A07QH,29049
"*VEGETABLE FAT,RAW,(LTBS)",A036N,25024
"*AVOCADO,FRESH,(LARGE),RAW",A01LB#F10.A166Y,29022
"*BEANS,RED HARICOT,DRIED,RAW",A012X#F10.A0F2S,8905
"*CASSAVA ROOT,FRESH ,W/SKIN, A,(LARGE),RAW",A00ZZ#F10.A166Y$F20.A07QQ,2001
"*GOAT MEAT, LOW FAT,W BONE, FRESH, RAW *STIR FRIED*",A01RL#F28.A07GT$F10.A077C$F20.A07QL,16115
"*VEGETABLE FAT,RAW,(HTBS)",A036N,25053
"*BARLEY GRAIN,DRIED, RAW",A000P#F28.A07KG,1051
"*VEGETABLE FAT,RAW,(LTBS)",A036N,25052
"*VEGETABLE FAT,RAW,(HTSP)",A036N,25018
"*PILAU MASALA,(HTBS)",A042Z,30155
"*ROYCO,POWDER,(LTBS)",A042Z#F04.A042P$F04.A002R$F04.A048A$F03.A06JD,30099
"*SWEET PEPPER,GREEN,RAW (SMALL)",A00JA#F10.A0F2Q,29167
"*Other green leaves,fresh, raw*boiled*",A00KR#F28.A07GL$F10.A166Y,18351
"*VEGETABLE OIL ,BIDCO,GOLDEN FRY,RAW,(LTBS)",A037N#F22.A07SH,25009
"*MAIZE GRAIN,WHITE, FRESH,RAW",A000T#F10.A0F2R$F10.A166Y,1001
"*PAPAYA, WHOLE, C, FRESH,(SMALL),RAW",A01LG#F10.A166Y$F03.A06HY,30041
"*CHICKEN,DRUMSTICK,W BONE,SKIN & MEAT,(MEDIUM),RAW,*STIR FRI",A01SP#F02.A07XQ$F28.A07GT$F03.A06HY$F20.A07QL$F20.A07QQ,16038
"*CHICKEN,WINGS,W BONE,SKIN & MEAT, (MEDIUM),RAW,*STIR FRIED*",A01SP#F02.A06AG$F28.A07GT$F03.A06HY$F20.A07QL$F20.A07QQ,16047
"*CHICKEN, WHOLE,W BONES, SKIN&MEAT,(LARGE),RAW,*BOILED*",A01SP#F28.A07GL$F03.A06HY$F20.A07QL$F20.A07QQ,16004
"*PAPAYA,SLICES, F, FRESH,(SMALL), RAW",A01LG#F10.A166Y$F03.A06JA,30044
"*BREAD,WHOLE WHEAT(BROWN)SLICES,S",A005E#F03.A06JA,1118
"*MILK,CAMEL MILK,WHOLE,FRESH,RAW",A0CVT#F10.A077A$F10.A166Y,9018
"*COWPEA LEAVES,FRESH,W/O STALKS,RAW*STIR FRIED*",A0DKA#F28.A07GT$F10.A166Y$F20.A07QH,18911
"*Leavening agents,baking powder",A048Q,30081
"*Beef, beef cubes,grouped,medium fat,fresh, vol,raw",A01QX#F10.A166Y$F10.A077B$F03.A06JB,11026
"*PAPAYA,SLICES, E, FRESH,(MEDIUM), RAW",A01LG#F10.A166Y$F03.A06JA,30043
"*VEGETABLE OIL ,BIDCO,GOLDEN FRY,RAW,(LTSP)",A037N#F22.A07SH,25008
"*VEGETABLE OIL ,BIDCO,UFUTA,RAW,(LTBS)",A037N#F22.A07SH,25006
*KHAT,A00KR#F26.A07XE,30175
"*GREENGRAMS,DRIED,RAW*BOILED*",A013D#F28.A07GL,8939
"*COCOA,BEVERAGE,(LTSP)",A03KY,27049
"*CAMEL MEAT, LOW FAT,W BONE, FRESH, RAW *BOILED*",A01RX#F28.A07GL$F10.A077C$F10.A166Y$F20.A07QL,16147
"*VEGETABLE FAT,RAW,(LTSP)",A036N,25050
"*CAKE,QUEEN CAKE,CUP CAKE,BASIC RECIPE,BAKED(STANDARD)",A00BC,1080
"*SALT,NOT IODIZED,(LTBS)",A042P#F10.A0F6D,30142
"*BEEF, LOW FAT, W BONE,FRESH,VOL, RAW",A01QX#F10.A166Y$F10.A077C$F20.A07QL,11049
"ANJERA,WHEAT,WITH SALT AND VEGETABLE OIL",A006R#F04.A001N$F04.A036N$F10.A0CJK,1022
"*IRISH POTATO,FRESH, W/SKIN,WHOLE  (SMALL),,RAW",A00ZT#F10.A166Y$F03.A06HY$F20.A07QQ,2044
"*MILK,POWDER,WHOLE,DRIED, VOL",A02PK,9003
"*TOMATO,PASTE,(LTBS)",A00ZF,29133
"*VEGETABLE FAT,RAW,(VOL)",A036N,25039
"*VEGETABLE FAT,RAW,(HTBS)",A036N,25025
"*VEGETABLE FAT, FORTIFIED,RAW,(LTBS)",A036N#F10.A0F6C$F22.A07SH,25047
"*JUICE POWDER,ORANGE CONCENTRATE (POWDER),RECONSTITUTED",A03AM#F28.A07MR,27066
"*CASSAVA ROOT, FRESH, W/SKIN, E, (MEDIUM),RAW,*STEAMED*",A00ZZ#F28.A07GP$F10.A166Y$F20.A07QQ,2017
"*SUGAR,JAGGERY",A032P,26020
"*GUAVA,PINK FLESHED,FRESH,W SKIN,RAW,(STANDARD)",A0CGD#F10.A166Y$F20.A07QQ,30048
"*CHICKEN,THIGH,W BONE,SKIN & MEAT, (SMALL), RAW,*STIR FRIED*",A01SP#F02.A07XQ$F28.A07GT$F03.A06HY$F20.A07QL$F20.A07QQ,16027
"* JUICE POWDER ,ORANGE CONCENTRATE (POWDER),(VOL)",A03CG#F27.A0DZB,27061
"*CASSAVA ROOT, FRESH, W/SKIN, D,(LARGE),RAW,* STEAMED*",A00ZZ#F28.A07GP$F10.A166Y$F20.A07QQ,2016
"*ONION,SPRING ONION,BULB ONLY,RAW",A00HH#F20.A07RM,29074
"*ROYCO,POWDER,(HTSP)",A042Z#F04.A042P$F04.A002R$F04.A048A$F03.A06JD,30098
"*SUGAR,GRANULATED,ALL GRADES,RAW,(HTSP)",A032H,26012
"*COFFEE,BEVERAGE,(LTSP)",A03KA,27044
"*VEGETABLE OIL ,RAW,(VOL)",A036N#F22.A07SH,25007
